,Virginia,California,Florida,New Jersey,Texas,New York,Colorado,Massachusetts,Nevada,Arizona,Oregon,North Carolina,the District of Columbia,Washington,Wisconsin,Hawaii,Utah,Michigan,South Carolina,Minnesota,Tennessee,Georgia,New Hampshire,Illinois,Vermont,Iowa,Missouri,Maryland,Rhode Island,Indiana,Montana,Wyoming,Pennsylvania,Oklahoma,West Virginia,Delaware,Alabama,Connecticut,Ohio,Kansas,South Dakota,Idaho,North Dakota,Nebraska,Mississippi,New Mexico,Arkansas,Alaska,Louisiana,Kentucky,Maine
2001-10-01,134027.49299989306,230468.50609889845,119089.09044083206,190381.59791815773,109626.1249953432,149929.71600250792,205593.62860824898,242119.3064015512,170093.40231898284,144660.32554894118,157142.57208428354,128677.50047436164,173903.71956905548,186814.42084502787,124707.30718468492,191652.18406885405,173715.90000238025,119129.29679637756,113431.59237799548,146600.394695633,105141.02796728087,131305.85303475536,160856.5723025469,131147.5977777375,117407.6993061739,84939.01138821589,97750.69669828215,158695.36770560776,156995.4040975047,97598.62353966135,,,100290.74753212261,78473.90064873865,65796.16514530912,147811.4266168788,89448.6336765869,188209.4455382514,108572.15158059477,77562.18969388075,96558.30687075865,123743.29367206333,,103958.61400129316,79233.83144164046,,83674.72137556558,153594.52881061044,101864.36418658281,91639.97245267023,117772.14597278585
2001-11-01,135054.90195887373,232365.33911988547,120123.5278984621,192353.2432799292,109736.68676628185,151115.03457570856,206622.74546052096,245239.01991185467,171022.79323423232,145330.62475129295,157632.93881000407,128965.65838228767,175896.05377195784,187509.19415294845,125338.182693572,192744.12611521047,173908.3886967407,119696.58320142014,113737.40644670626,148245.4570939935,105410.51290202096,131896.07748532086,162567.83111170234,132150.8065043051,118291.06392457709,85301.49453038439,98366.66603463089,159833.98536965376,159044.06631588677,97824.29033360876,,,100767.06200145495,78697.82466347737,65934.55677674757,148610.63834232712,89729.21859891825,190050.33123914804,108924.12964956269,77890.76027751552,96782.06406483975,124037.85655868448,,104170.63012029887,79528.20429761133,,83807.0958465041,154470.02216195696,102244.84845020455,91921.84164184157,118854.47625838082
2001-12-01,136030.65760018255,234137.01612458812,121138.40285177289,194130.07602125045,109827.01064404461,152377.4546678028,207429.96576902273,248175.6732549543,171985.2747028727,145958.01691426625,158151.8381172061,129219.16999161558,177917.274741257,188359.0585800504,125944.1644116732,193718.04968685424,173998.60029975857,120222.24891052242,114043.15651194825,149654.51842815746,105614.71629349515,132446.66347915414,164263.3371763793,132892.97911892587,119212.8107166966,85673.57314820582,98992.38127483377,160990.9853796968,161043.17650707476,98131.27232125064,,,101217.5521990263,78896.73821892434,66032.81929475498,149427.0829655494,89937.4222903982,191576.36753571747,109243.04714503964,78228.47125451024,96932.49203747686,124298.55457836106,,104402.04923569749,79760.7893688591,,83884.98073996975,155460.65412158272,102580.45517972352,92178.34675879568,119905.85804224842
2002-01-01,136946.4926349627,235567.46577487633,122055.0929052192,195792.89422686558,109860.03829579237,153626.2906403028,207886.9674959171,250563.37550790157,172854.38846519438,146482.96683766524,158649.6083959011,129432.2164966542,179855.4505364663,189078.1641347783,126517.15829066695,194411.77104696527,174025.181211243,120764.25371653958,114275.73843884417,150825.56773470013,105761.05880523974,132915.76592334747,165955.8361744519,133406.45413749284,120181.9116181137,85918.34026728325,99563.12728271006,162154.76865360755,162675.9145373824,98172.26777399913,,,101665.68317400839,79085.7755381518,66102.93927657926,150260.50289588876,90060.6388836608,192782.24686407074,109513.46568683838,78548.30115956922,97050.39460064324,124465.71401314183,,104688.0678496241,79877.02115226052,,83949.51835659539,156187.7490088581,102834.27707326972,92392.85616987916,121102.4866233631
2002-02-01,137852.7719377364,237031.47627412432,122902.90679870383,197505.8037330873,109944.28260808282,154759.8848974834,208297.28970196203,252609.0417557968,173619.82729966077,146958.4212206816,159135.24354815335,129610.65171264518,181800.2212364551,189779.1922312181,127046.98083327439,195315.4956053358,173949.62743865195,121225.05279409455,114415.55003770092,151801.81021990147,105920.9045962176,133366.5781150919,167580.40817062207,134008.17650705526,121143.02202742641,86081.01287952001,100105.85156005026,163278.10438864282,164362.94716049044,98155.82655615052,,,102109.60419790699,79322.38721866584,66263.32055364756,151098.50045470175,90193.0775139969,193882.5310085653,109735.1200079217,78812.12347705658,97461.15428171506,124710.33504770412,,104962.72131224429,79916.15650353752,,84054.7418177839,156769.65674962776,103120.77926438436,92600.43394158401,122309.32955327921
2002-03-01,138801.27828823382,238746.7430148587,123731.60471434107,199255.6196003266,110150.6547565189,155719.81805678082,208885.1446091887,254693.89219619974,174462.690269933,147474.69936649743,159609.80663798095,129777.61887454505,183587.82187338712,190393.9291466536,127529.392271684,196351.09467422418,173998.53946004668,121625.52255399445,114536.82708540115,152699.332039498,106087.98943376774,133775.13647568537,169024.196897681,134739.9559391608,122136.87440293177,86164.23782594992,100572.77865220136,164405.40750214583,166011.53090785074,97990.39029515603,,,102572.61117357679,79547.86073078257,66492.27930951369,151992.66497196758,90304.19906872156,195150.59027551828,109946.72215315413,79045.26261236994,97784.30900259865,124898.31135871122,,105303.71119865507,79948.50478865633,,84193.06152083162,157253.0397178115,103456.2764135727,92789.18884583087,123586.13705432299
2002-04-01,139871.6104897256,241062.08714816114,124663.49394546686,201018.14816353805,110511.8642664596,156662.44380164528,209648.4911049678,256913.86864181873,175424.07228409153,148047.97079208677,160100.20866963477,129885.01501063742,185656.5376173443,190954.5183323616,127991.12856287589,197676.71110401294,174118.9047075647,121914.60536911787,114649.69794324687,153551.71564287,106240.07229379106,134210.0951173784,170558.66203894265,135423.5445718011,123089.85867911381,86384.6564919635,101017.43845247757,165670.21106280494,167900.81225119904,97844.49835271797,,136754.46879305752,103082.24031896178,79788.16923751358,66697.57934182031,152929.98916508487,90429.5370261447,196646.11136668865,110159.2521409274,79260.30868608039,98005.17765066777,125102.18929237645,,105582.57287213752,79911.88715266461,127383.20710225902,84378.39826838276,158045.69846566403,103853.58104553586,92978.6523747834,124903.16265641048
2002-05-01,140974.48770349709,243764.47042644047,125685.57578155967,202845.09569076737,110937.55069189018,157664.70201261676,210510.6217350408,259310.91252861716,176508.36188027557,148629.75785899413,160721.005146142,130053.96970760236,187983.30915727853,191443.48581644718,128479.08194626706,198842.30730205565,174225.39060558513,122211.5536200017,114849.57773465267,154656.8737850307,106409.41879265639,134654.098724995,172032.03272386416,136148.77137666798,123984.19455360774,86713.51320892789,101482.04566696192,167252.91724587113,170102.28883219324,97874.98229453024,,135533.3290746274,103639.11551399932,79997.48844010771,66875.5059812459,153857.15070534652,90589.19865899302,198414.842184944,110410.82648811804,79268.45778125578,98095.85588403384,125327.77058952017,,105970.38139865511,80000.88185641781,127600.07431400646,84627.79376870974,158757.00931039196,104582.39880884475,93155.40817642813,126159.84007398986
2002-06-01,142194.13106254904,246762.27799916212,126754.22182798304,204902.5943725824,111415.16473576019,158828.00992762984,211240.58388811536,261802.5100460079,177422.33873789618,149285.0875598199,161462.96912170298,130232.7445572281,190594.43113033858,191880.95044976706,129009.89353934435,200126.15819242317,174321.43738333115,122544.01383497908,115063.7967773259,155791.53024273028,106602.50916840984,135109.44503721257,173679.58746583606,136864.50576225226,124858.00301550252,87141.75881308586,102017.9474363755,169065.8765532696,172549.64509583934,98126.97065537302,,134977.33167606857,104252.18772477489,80210.09965652208,67047.43120945698,154844.65020568678,90788.037641669,200433.56387384146,110693.14957748957,79213.37804005145,98408.99816425896,125660.46379406888,,106278.92929037714,80154.35186598513,127696.68179124745,84929.0399190845,159331.8300797339,105271.79962699424,93355.71509222589,127469.07855587437
2002-07-01,143489.77103554097,250230.83385377796,127842.42241230044,207214.03450731174,111901.35308822425,160077.80325354493,211949.79907201533,264620.1072053478,178256.7172239341,149994.39114484878,162275.24958133893,130478.54995364223,193155.4428382943,192437.61146836157,129567.22160783225,201694.88887854028,174416.9669495576,122870.33232800866,115369.73428853643,157029.0120469328,106828.01498172172,135539.68900089109,175340.47096211129,137725.29392222187,125644.98893857835,87524.9004017727,102599.78138938843,171080.00449796952,175291.80758723474,98473.07109295538,,134128.0714041861,104938.28685517993,80436.64411676214,67259.526888067,155857.89510747223,91019.51294422895,202584.35040949957,111023.71928241871,79136.91899728346,98785.39121092198,125996.98643938983,,106617.44220188948,80422.78791413158,128027.06608388468,85279.30332043912,159849.48649534694,105997.4410965884,93608.22622164602,128786.68415320176
